minbucket	cp	max_depth	min_split	ganancia_promedio
8	-0.3	10	20	8033333
8	-0.3	10	10	7966667
8	-0.3	12	2000	10103333
8	-0.3	12	1000	10596667
8	-0.3	12	800	10463333
8	-0.3	12	600	9716667
8	-0.3	12	400	7410000
8	-0.3	12	200	7366667
8	-0.3	12	100	7273333
8	-0.3	12	50	6516667
8	-0.3	12	20	6933333
8	-0.3	12	10	6703333
8	-0.3	16	2000	9920000
8	-0.3	16	1000	10070000
8	-0.3	16	800	9936667
8	-0.3	16	600	9106667
8	-0.3	16	400	6743333
8	-0.3	16	200	5090000
8	-0.3	16	100	5243333
8	-0.3	16	50	3693333
