fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220411 223512	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	53	TRUE	0.0247800485931137	0.470320502335172	2003	23	17	30	0.00850473723181668	12303000	21
20220411 223604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	528	TRUE	0.0222677661964138	0.49059412164913	2535	6	3	11	0.0381421631008769	10139000	22
20220411 223651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	368	TRUE	0.0385238665856221	0.498940428306482	2493	29	15	13	0.0128391044021728	13098000	23
20220411 223721	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	198	TRUE	0.0390843454013313	0.488780650190477	2863	11	12	4	0.0440069442229634	8904000	24
20220411 223820	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	336	TRUE	0.0216185101198166	0.415171084672745	2043	22	10	6	0.0375216945102217	10153000	25
20220411 223922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	462	TRUE	0.0210015712992754	0.404586260426523	2992	16	17	26	0.0180546648222454	13202000	26
20220411 223951	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	176	TRUE	0.0374000308757448	0.418133480303056	2685	14	2	3	0.0101739731082316	12335000	27
20220411 224040	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	455	TRUE	0.0342097661950226	0.475644188040834	2321	21	29	25	0.0492453258528258	6329000	28
20220411 224125	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	278	TRUE	0.0283129726079187	0.454000342316572	2580	15	15	17	0.0151234541426804	13104000	29
20220411 224206	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	426	TRUE	0.0342273696288318	0.495890037812178	2278	6	5	26	0.0143190094800905	13526000	30
20220411 224242	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	322	TRUE	0.0236280640853554	0.432893036454759	2293	6	6	30	0.0172184429913541	13251000	31
20220411 224328	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	385	TRUE	0.0295171462946174	0.494636394656264	2992	7	7	25	0.0136548511170428	13231000	32
20220411 224413	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	404	TRUE	0.0356442851158713	0.480714599943909	2242	10	7	22	0.0137458879878127	13500000	33
20220411 224459	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	407	TRUE	0.0244378177583341	0.499969525348096	2272	9	3	19	0.0141314213058067	13461000	34
20220411 224608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	419	TRUE	0.0307247017967471	0.491870707130734	2455	27	1	25	0.0143903567784999	13484000	35
20220411 224707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	613	TRUE	0.0311398541004253	0.486102704870704	2440	10	1	24	0.0143258515903817	13609000	36
20220411 224805	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	439	TRUE	0.0200334919121679	0.473118194534097	2808	13	0	24	0.0160572104638831	13428000	37
20220411 224946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	629	TRUE	0.0204561057412653	0.400072227050663	2745	29	3	27	0.0145295486567396	13469000	38
20220411 225028	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	369	TRUE	0.0229897547898202	0.402113428704293	2723	8	0	26	0.0143386226462946	13528000	39
20220411 225122	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	261	TRUE	0.023117710811808	0.473955120281567	2691	24	0	29	0.0130957619352159	13444000	40
20220411 225159	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	142	TRUE	0.0276113961621149	0.401069919632437	2524	22	5	30	0.0155255663723159	13395000	41
20220411 225244	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	495	TRUE	0.0307202223871817	0.482389115799451	2100	6	0	14	0.0143572746032156	13444000	42
20220411 225340	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	272	TRUE	0.0249456863145042	0.43493324143737	2981	26	0	26	0.015081052635696	13304000	43
20220411 225427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	489	TRUE	0.0223696476586179	0.463273094839518	2532	6	0	24	0.0135749284885967	13608000	44
